,Player,PosFantasy,Precio,VI,USG%,ORtg,DRtg,eFG%,AGE,Puntos Fantasy
0,joel embiid,Front,18.0,15.3,39.6,124.0,104.8,0.561,30.1,58.283487179487175
1,luka doncic,Back,19.0,15.5,36.0,121.9,109.9,0.573,25.1,59.41257142857143
2,giannis antetokounmpo,Front,17.5,14.9,33.0,125.6,106.9,0.623,29.4,55.16849315068493
3,shai gilgeous-alexander,Back,17.0,11.9,32.9,128.6,107.7,0.567,25.8,49.56977333333333
4,jalen brunson,Back,15.5,10.0,32.5,124.2,112.6,0.543,27.6,42.89261038961038
5,kevin durant,Front,16.0,10.4,29.0,117.8,112.8,0.581,35.5,43.42996
6,devin booker,Back,15.0,10.5,29.8,123.9,110.6,0.55,27.5,42.81773529411764
7,jayson tatum,Front,16.5,11.5,30.2,120.6,107.6,0.552,26.1,44.61568918918919
8,de'aaron fox,Front,15.5,9.8,31.0,113.5,110.3,0.534,26.3,42.68581081081081
9,donovan mitchell,Back,16.0,10.6,31.3,116.9,109.1,0.545,27.6,43.65076363636364
10,stephen curry,Back,16.0,10.4,31.3,118.9,114.9,0.573,36.1,38.90062162162162
11,nikola jokic,Front,20.5,16.6,29.3,130.7,104.8,0.612,29.2,56.35965822784809
12,anthony edwards,Back,16.0,10.2,32.3,112.1,107.3,0.522,22.7,40.57389873417721
13,tyrese maxey,Back,15.0,9.0,28.0,120.9,113.9,0.524,23.4,40.99021428571429
14,lebron james,Front,16.5,13.1,29.1,119.7,113.4,0.599,39.3,47.074704225352114
15,trae young,Back,16.0,10.2,30.5,117.4,118.3,0.516,25.6,43.88514814814816
16,kyrie irving,Back,15.5,10.0,28.1,122.0,113.1,0.573,32.1,41.2431551724138
17,ja morant,Front,15.0,11.8,30.4,116.1,112.9,0.512,24.7,43.803
18,anthony davis,Front,17.0,11.6,26.7,124.0,107.6,0.567,31.1,49.96619736842105
19,damian lillard,Back,15.0,10.3,28.4,120.0,114.3,0.51,33.8,39.8997808219178
20,demar derozan,Front,14.5,8.7,25.8,122.6,115.5,0.507,34.7,38.824569620253165
21,julius randle,Front,15.0,11.7,29.9,112.8,107.2,0.518,29.4,40.58978260869565
22,lamelo ball,Back,15.0,12.3,34.3,110.4,110.0,0.515,22.6,42.2184090909091
23,kawhi leonard,Front,15.0,9.4,26.5,124.4,113.5,0.585,32.8,39.6469705882353
24,desmond bane,Back,14.5,9.7,28.5,114.3,110.8,0.552,25.8,37.58004761904762
25,terry rozier,Front,13.0,9.5,27.8,116.2,119.5,0.535,30.1,38.58316666666666
26,lauri markkanen,Front,14.5,8.8,25.0,127.5,116.9,0.578,26.9,37.48952727272727
27,jaylen brown,Back,14.0,9.2,28.9,113.4,106.7,0.557,27.5,36.01085714285714
28,zion williamson,Front,14.5,11.1,29.7,118.8,108.8,0.573,23.8,38.1174
29,cade cunningham,Back,14.5,10.8,30.8,108.3,115.2,0.5,22.6,38.2753064516129
30,paul george,Front,14.0,8.8,26.6,118.7,109.4,0.569,34.0,35.96131081081081
31,anfernee simons,Front,13.0,8.9,28.0,113.4,117.3,0.523,24.9,33.64893478260869
32,paolo banchero,Front,14.5,10.8,29.7,108.9,108.6,0.497,21.4,38.823225
33,dejounte murray,Back,15.0,10.2,26.6,113.8,117.2,0.528,27.6,39.23510256410256
