,index,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Puntos Fantasy,Player,Team,Precio,Uso,Form,TP,PosFantasy,PosAgg
0,0,,joel embiid,Phi,C,30.1,39,33.6,39.6,15.0,452,0.883,712,0.556,139,0.388,0.561,0.644,34.7,11.0,5.6,1.2,1.7,3.8,45.7,40.3,51.3,15.3,124.0,104.8,58.283487179487175,joel embiid, PHI  ,18.0,0.051,0.0,2383.5,Front,Back
1,1,,luka doncic,Dal,G,25.1,70,37.5,36.0,14.6,608,0.786,908,0.573,744,0.382,0.573,0.617,33.9,9.2,9.8,1.4,0.5,4.0,43.1,43.7,52.9,15.5,121.9,109.9,59.41257142857143,luka doncic, DAL  ,19.0,0.233,0.0,4303.2,Back,Back
2,2,,giannis antetokounmpo,Mil,F,29.4,73,35.2,33.0,15.4,782,0.657,1246,0.644,124,0.274,0.623,0.648,30.4,11.5,6.5,1.2,1.1,3.4,42.0,37.0,48.5,14.9,125.6,106.9,55.16849315068493,giannis antetokounmpo, MIL  ,17.5,0.145,0.0,4194.4,Front,Front
3,3,,shai gilgeous-alexander,Okc,G,25.8,75,34.0,32.9,9.8,649,0.874,1218,0.576,269,0.353,0.567,0.636,30.1,5.5,6.2,2.0,0.9,2.2,35.6,36.3,41.8,11.9,128.6,107.7,49.56977333333333,shai gilgeous-alexander, OKC  ,17.0,0.138,0.0,3940.0,Back,Back
4,4,,jalen brunson,Nyk,G,27.6,77,35.4,32.5,10.1,497,0.847,1122,0.516,526,0.401,0.543,0.592,28.7,3.6,6.7,0.9,0.2,2.4,32.3,35.5,39.1,10.0,124.2,112.6,42.89261038961038,jalen brunson, NYK  ,15.5,0.102,0.0,3388.1,Back,Back
5,5,,kevin durant,Pho,F,35.5,75,37.2,29.0,14.5,423,0.856,1029,0.567,407,0.413,0.581,0.626,27.1,6.6,5.0,0.9,1.2,3.3,33.7,32.1,38.7,10.4,117.8,112.8,43.429959999999994,kevin durant, PHX  ,16.0,0.051,0.0,3429.0,Front,Front
6,6,,devin booker,Pho,G,27.5,68,36.0,29.8,12.0,457,0.886,887,0.552,418,0.364,0.55,0.611,27.1,4.5,6.9,0.9,0.4,2.6,31.6,34.0,38.5,10.5,123.9,110.6,42.81773529411764,devin booker, PHX  ,15.0,0.022,0.0,3007.6,Back,Back
7,7,,jayson tatum,Bos,F,26.1,74,35.7,30.2,11.6,497,0.833,817,0.542,609,0.376,0.552,0.604,26.9,8.1,4.9,1.0,0.6,2.5,35.0,31.8,39.9,11.5,120.6,107.6,44.61568918918919,jayson tatum, BOS  ,16.5,0.084,0.0,3420.2,Front,Front
8,8,,de'aaron fox,Sac,G,26.3,74,35.9,31.0,11.1,423,0.738,969,0.522,580,0.369,0.534,0.567,26.6,4.6,5.6,2.0,0.4,2.6,31.2,32.2,36.8,9.8,113.5,110.3,42.68581081081081,de'aaron fox, SAC  ,15.5,0.007,0.0,3350.0,Front,Back
9,9,,donovan mitchell,Cle,G,27.6,55,35.3,31.3,12.4,317,0.868,595,0.539,494,0.368,0.545,0.595,26.6,5.1,6.1,1.8,0.5,2.8,31.7,32.7,37.7,10.6,116.9,109.1,43.650763636363635,donovan mitchell, CLE  ,16.0,0.008,0.0,2537.5,Back,Back
